It costs %ld coins to send the gift. Confirm to send?,GGGGG,متأكد لارسال الهدية بسعر %ld كوينز؟,NNNNNNNN,
Don't remind again,GGGGG,لا تظهر مرة اخرى,NNNNNNNN,
Cancel,GGGGG,الغاء,NNNNNNNN,
Send,GGGGG,ارسال,NNNNNNNN,
%@ will see your message first once you send gifts.,GGGGG,ستظهر رسالتك في أعلى قائمة رسائل %@ بعد ارسال لها هدية.,NNNNNNNN,
You sent,GGGGG,أرسلتَ,NNNNNNNN,
You received,GGGGG,إستلمتِ,NNNNNNNN,
"As a host, you can only view the gifts without the option to send  them.",GGGGG,يمكن لمضيفة رؤية هدايا ولا يمكن ارسال اي هدية.,NNNNNNNN,
Best Wishes!,GGGGG,أطيب التمنيات!,NNNNNNNN,
